sssom:subject_id	sssom:subject_label	sssom:subject_category	sssom:predicate_id	sssom:object_id	sssom:object_label	sssom:object_category	sssom:mapping_justification	sssom:author_id	sssom:author_label	sssom:reviewer_id	sssom:reviewer_label	sssom:creator_id	sssom:creator_label	sssom:subject_type	sssom:object_type	sssom:mapping_date	sssom:object_match_field	sssom:comment	semapv:RegexRemoval
mids:PhysicalSpecimenID	Physical Specimen ID	mids:MIDS0	skos:narrowMatch	dwc:materialSampleID	Material Sample ID	geoext:CompoundSpecimens	semapv:HumanCuration	orcid:0000-0002-3973-1257|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			https://orcid.org/0000-0002-3973-1252	Mathias Dillen	rdf property	rdf property	2023-09			
mids:PhysicalSpecimenID	Physical Specimen ID	mids:MIDS0	skos:narrowMatch	dwc:catalogNumber	Catalog Number	geoext:CompoundSpecimens	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1253	Mathias Dillen	rdf property	rdf property	2023-09			
mids:PhysicalSpecimenID	Physical Specimen ID	mids:MIDS0	skos:narrowMatch	dwc:otherCatalogNumbers	Other Catalog Numbers	geoext:CompoundSpecimens	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1254	Mathias Dillen	rdf property	rdf property	2023-09			
mids:PhysicalSpecimenID	Physical Specimen ID	mids:MIDS0	skos:narrowMatch	dwc:materialEntityID	Material Entity ID	geoext:CompoundSpecimens	semapv:HumanCuration	orcid:0000-0002-3090-1761	Wouter Addink			https://orcid.org/0000-0002-3973-1254	Mathias Dillen	rdf property	rdf property	2023-09			
mids:Organization	Organization	mids:MIDS0	skos:narrowMatch	dwc:ownerInstitutionCode	Owner Institution Code	geoext:CompoundSpecimens	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1255	Mathias Dillen	rdf property	rdf property	2023-09			
mids:Organization	Organization	mids:MIDS0	skos:narrowMatch	dwc:institutionID	Institution ID	geoext:CompoundSpecimens	semapv:HumanCuration	orcid:0000-0002-3973-1257|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			https://orcid.org/0000-0002-3973-1256	Mathias Dillen	rdf property	rdf property	2023-09			
mids:Organization	Organization	mids:MIDS0	skos:narrowMatch	dwc:institutionCode	Institution Code	geoext:CompoundSpecimens	semapv:HumanCuration	orcid:0000-0002-3973-1257|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			https://orcid.org/0000-0002-3973-1257	Mathias Dillen	rdf property	rdf property	2023-09			
mids:Name	Name	mids:MIDS1	skos:narrowMatch	geoext:predicatedName	Predicated Name	geoext:CompoundSpecimens	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1259	Mathias Dillen	rdf property	rdf property	2023-09			
mids:Name	Name	mids:MIDS1	skos:narrowMatch	geoext:name	Name	geoext:ConstituentParts	semapv:HumanCuration	hhttps://orcid.org/0000-0002-5819-9134	Ben Norton			hhttps://orcid.org/0000-0002-5819-9134	Ben Norton	rdf property	rdf property	2025-09-24			
mids:ObjectType	Object Type	mids:MIDS1	skos:narrowMatch	dwc:preparations	Preparations	geoext:CompoundSpecimens	semapv:HumanCuration	orcid:0000-0002-3973-1257|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			https://orcid.org/0000-0002-3973-1261	Mathias Dillen	rdf property	rdf property	2023-09			
mids:ObjectType	Object Type	mids:MIDS1	skos:narrowMatch	dwc:materialEntityType	Material Entity Type	geoext:CompoundSpecimens	semapv:HumanCuration	hhttps://orcid.org/0000-0002-5819-9134	Ben Norton			hhttps://orcid.org/0000-0002-5819-9134	Ben Norton	rdf property	rdf property				
mids:ObjectType	Object Type	mids:MIDS1	skos:narrowMatch	geoext:constituentPartType	Constituent Part Type	geoext:ConstituentParts	semapv:HumanCuration	hhttps://orcid.org/0000-0002-5819-9134	Ben Norton			hhttps://orcid.org/0000-0002-5819-9134	Ben Norton	rdf property	rdf property				
mids:License	License	mids:MIDS1	skos:exactMatch	dc:license	License	geoext:CompoundSpecimens	semapv:HumanCuration	orcid:0000-0002-3973-1257|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			https://orcid.org/0000-0002-3973-1262	Mathias Dillen	rdf property	rdf property	2023-09			
mids:Modified	Modified	mids:MIDS1	skos:exactMatch	dc:modified	Modified	geoext:CompoundSpecimens	semapv:HumanCuration	orcid:0000-0002-3973-1257|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			https://orcid.org/0000-0002-3973-1263	Mathias Dillen	rdf property	rdf property	2023-09			
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:locality	Locality	geoext:CompoundSpecimens	semapv:HumanCuration	orcid:0000-0002-3973-1257|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			https://orcid.org/0000-0002-3973-1264	Mathias Dillen	rdf property	rdf property	2023-09			
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:county	County	geoext:CompoundSpecimens	semapv:HumanCuration	orcid:0000-0002-3973-1257|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			https://orcid.org/0000-0002-3973-1265	Mathias Dillen	rdf property	rdf property	2023-09			
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:municipality	Municipality	geoext:CompoundSpecimens	semapv:HumanCuration	orcid:0000-0002-3973-1257|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			https://orcid.org/0000-0002-3973-1266	Mathias Dillen	rdf property	rdf property	2023-09			
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:verbatimLocality	Verbatim Locality	geoext:CompoundSpecimens	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1267	Mathias Dillen	rdf property	rdf property	2023-09			
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:island	Island	geoext:CompoundSpecimens	semapv:HumanCuration	orcid:0000-0002-3973-1257|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			https://orcid.org/0000-0002-3973-1268	Mathias Dillen	rdf property	rdf property	2023-09			
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:verbatimCoordinates	Verbatim Coordinates	geoext:CompoundSpecimens	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1269	Mathias Dillen	rdf property	rdf property	2023-09			
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	owl:intersectionOf	dwc:verbatimLongitude	Verbatim Longitude	geoext:CompoundSpecimens	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1272	Mathias Dillen	rdf property	rdf property	2023-09	dwc:verbatimLongitude|dwc:verbatimLatitude	All properties in object_match_field need to be present	
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	owl:intersectionOf	dwc:verbatimLatitude	Verbatim Latitude	geoext:CompoundSpecimens	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1273	Mathias Dillen	rdf property	rdf property	2023-09			
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:continent	Continent	geoext:CompoundSpecimens	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-3973-1274	Mathias Dillen	rdf property	rdf property	2023-09			
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:country	Country	geoext:CompoundSpecimens	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-3973-1275	Mathias Dillen	rdf property	rdf property	2023-09			
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:countryCode	Country Code	geoext:CompoundSpecimens	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-3973-1276	Mathias Dillen	rdf property	rdf property	2023-09			
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:islandGroup	Island Group	geoext:CompoundSpecimens	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-3973-1277	Mathias Dillen	rdf property	rdf property	2023-09			
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:stateProvince	State Province	geoext:CompoundSpecimens	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-3973-1278	Mathias Dillen	rdf property	rdf property	2023-09			
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:waterBody	Water Body	geoext:CompoundSpecimens	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-3973-1279	Mathias Dillen	rdf property	rdf property	2023-09			
