geoext:constituentPartIdentifier,geoext:name,geoext:language,geoext:nameType,geoext:nameIdentifier,geoext:classificationCode,geoext:isPreferredName,geoext:namePublishedIn,geoext:nameRemarks
emu:/test/etaxonomy/1007940-0,Limestone,,,,,,,
emu:/test/etaxonomy/1011555-0,Quartzite,,,,,,,
emu:/test/etaxonomy/1012907-0,Shale,,,,,,,
emu:/test/etaxonomy/1002286-0,Sandstone,,,,,,,
emu:/test/etaxonomy/1001009-0,Augite andesite,,,,,,,
emu:/test/etaxonomy/1004955-0,Fluorapatite,,,,,,,
emu:/test/etaxonomy/1000633-1,Albite,,,,,,,
emu:/test/etaxonomy/1003487-2,Columbite,,,,,,,
emu:/test/etaxonomy/1011427-3,Quartz,,,,,,,
emu:/test/etaxonomy/1007212-0,Julgoldite,,,,,,,
emu:/test/etaxonomy/10590084-0,Baryte,,,,,,,
emu:/test/etaxonomy/1011249-1,Pyrite,,,,,,,
emu:/test/etaxonomy/1002475-2,Calcite,,,,,,,
emu:/test/etaxonomy/1010502-0,Petalite,,,,,,,
emu:/test/etaxonomy/1000844-0,Quartz (var. amethyst),,,,,,,
emu:/test/etaxonomy/1006680-0,Howlite,,,,,,,
emu:/test/etaxonomy/1013133-0,Silver,,,,,,,
emu:/test/etaxonomy/1014255-0,Topaz,,,,,,,
emu:/test/etaxonomy/1012078-0,Rutile,,,,,,,
emu:/test/etaxonomy/1013495-0,Spinel,,,,,,,
emu:/test/etaxonomy/1005217-0,Galena,,,,,,,
emu:/test/etaxonomy/1002475-0,Calcite,,,,,,,
emu:/test/etaxonomy/1000222-0,Sphalerite,,,,,,,
emu:/test/etaxonomy/1005217-1,Galena,,,,,,,
emu:/test/etaxonomy/1011417-0,Pyrrhotite,,,,,,,
emu:/test/etaxonomy/1001508-1,Aurichalcite,,,,,,,
emu:/test/etaxonomy/1005687-2,Goethite,,,,,,,
emu:/test/etaxonomy/1008169-0,Lorándite,,,,,,,
emu:/test/etaxonomy/1011740-1,Realgar,,,,,,,
emu:/test/etaxonomy/1000225-0,Microcline,,,,,,,
emu:/test/etaxonomy/1013513-0,Spodumene,,,,,,,
emu:/test/etaxonomy/1004476-1,Elbaite,,,,,,,
emu:/test/etaxonomy/1000633-2,Albite,,,,,,,
emu:/test/etaxonomy/1002977-0,Cuprite (var. chalcotrichite),,,,,,,
emu:/test/etaxonomy/1004090-0,Diamond,,,,,,,
emu:/test/etaxonomy/1009740-0,Opal (imitation),,,,,,,
emu:/test/etaxonomy/1013314-1,Slocum stone,,,,,,,
emu:/test/etaxonomy/1007109-0,Ivory,,,,,,,
emu:/test/etaxonomy/1003980-0,Dawsonite,,,,,,,
emu:/test/etaxonomy/1010591-0,Phosphate rock,,,,,,,
emu:/test/etaxonomy/1006693-0,Huemulite,,,,,,,
emu:/test/etaxonomy/1001007-0,Andesite,,,,,,,
emu:/test/etaxonomy/1007645-0,Latite,,,,,,,
emu:/test/etaxonomy/1007650-0,Biotite-augite latite,,,,,,,
emu:/test/etaxonomy/1007665-0,Quartz-latite,,,,,,,
emu:/test/etaxonomy/1007655-0,Hornblende-augite latite,,,,,,,
emu:/test/etaxonomy/1000577-0,Tuff,,,,,,,
emu:/test/etaxonomy/1006993-0,Intrusive rock,,,,,,,
emu:/test/etaxonomy/1000569-0,Agglomerate,,,,,,,
emu:/test/etaxonomy/1001689-0,Basalt,,,,,,,
emu:/test/etaxonomy/10027008-0,Breccia matrix,,,,,,,
emu:/test/etaxonomy/1006364-0,Hematite,,,,,,,
emu:/test/etaxonomy/1001937-0,Beryl,,,,,,,
emu:/test/etaxonomy/1009022-0,Molybdenite ore,,,,,,,
emu:/test/etaxonomy/1006250-1,Halite,,,,,,,
emu:/test/etaxonomy/1001826-0,Bauxite,,,,,,,
emu:/test/etaxonomy/1004775-0,Potassium feldspar,,,,,,,
emu:/test/etaxonomy/1007981-0,Dolomitic limestone,,,,,,,
emu:/test/etaxonomy/10053316-0,Glass,,,,,,,
emu:/test/etaxonomy/1009736-1,Opal,,,,,,,
emu:/test/etaxonomy/10031846-0,Sodium feldspar,,,,,,,
emu:/test/etaxonomy/10031848-0,Potassium dichromate,,,,,,,
emu:/test/etaxonomy/10031849-0,Sodium oxalate,,,,,,,
emu:/test/etaxonomy/10031850-0,Steel,,,,,,,
emu:/test/etaxonomy/10031852-0,Titanium oxide,,,,,,,
emu:/test/etaxonomy/1007026-0,Iron,,,,,,,
emu:/test/etaxonomy/1009992-0,Sulfide ore,,,,,,,
emu:/test/etaxonomy/1007950-0,Argillaceous limestone,,,,,,,
emu:/test/etaxonomy/1003282-0,Clay,,,,,,,
emu:/test/etaxonomy/10031924-0,Albite-lepidolite granite,,,,,,,
emu:/test/etaxonomy/1013783-0,Syenite,,,,,,,
emu:/test/etaxonomy/1002714-0,Cave deposit,,,,,,,
emu:/test/etaxonomy/1003518-0,Concretion,,,,,,,
emu:/test/etaxonomy/1003031-1,Chert,,,,,,,
emu:/test/etaxonomy/1003550-0,Conglomerate,,,,,,,
emu:/test/etaxonomy/1014935-0,Volcanic ash,,,,,,,
